image_id,description,alt_description,likes,color_hex,width,height,upload_date,image_url,image_filename,local_path,tags,num_tags
eGGFZ5X2LnA,3D render of AI and GPU processors,a computer chip with the letter a on top of it,314,#404040,3000,2500,2023-10-17T21:17:04Z,https://images.unsplash.com/photo-1697577418970-95d99b5a55cf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxfHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_1.jpg,images/image_1.jpg,"background, computer, artificial intelligence, communication, electronics, cloud computing, cpu, hardware, chip, board, circuit board, circuit, analog, 3d rendering, artificial, assembly, capacitor, grey",18
nGoCBxiaRO0,,an abstract image of a sphere with dots and lines,310,#262640,3840,2160,2023-01-18T07:38:17Z,https://images.unsplash.com/photo-1674027444485-cec3da58eef4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwyfHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_2.jpg,images/image_2.jpg,"artificial intelligence, brain, future, network, google, blockchain, chatgpt, brainstorm, smart, openai, super computer",11
gVQLAbGVB6Q,,two hands touching each other in front of a pink background,141,#8c2659,7680,4320,2023-09-16T22:28:37Z,https://images.unsplash.com/photo-1694903110330-cc64b7e1d21d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwzfHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_3.jpg,images/image_3.jpg,"background, abstract, business, computer, blue, artificial intelligence, pattern, light, robot, automation, machine, analysis, bright, circuit, device, binary, automatic, automaton, brown",19
X9Cemmq4YjM,Hold My Hand,two hands reaching for a flying object in the sky,709,#0cd9f3,2160,2700,2023-04-06T12:25:58Z,https://images.unsplash.com/photo-1680783954745-3249be59e527?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw0fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_4.jpg,images/image_4.jpg,"wallpaper, background, abstract, artificial intelligence, colorful, hands, 3d render, digital image, render, experimental, robotic, arms, robot arm, human arm",14
_0iV9LmPDn0,Futuristic 3D Render,a computer circuit board with a brain on it,269,#0c2659,5120,2880,2023-02-26T20:15:34Z,https://images.unsplash.com/photo-1677442135703-1787eea5ce01?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw1fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_5.jpg,images/image_5.jpg,"4k wallpaper, technology, computer, future, 4k background, sci fi, intelligence, science fiction, interconnected",9
bV_P23FXxhI,Next generation and Artificial inteligence,a cell phone sitting on top of a laptop computer,76,#0c2640,4000,6000,2024-05-25T11:48:36Z,https://images.unsplash.com/photo-1716637644831-e046c73be197?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw2fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_6.jpg,images/image_6.jpg,"madrid, chatgpt, monitor, inteligencia artificial, mujer, cara, teclado, humano, spain",9
zwd435-ewb4,None,black and white robot toy on red wooden table,706,#262626,2765,3456,2021-05-11T06:04:12Z,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw3fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_7.jpg,images/image_7.jpg,"technology, tech, artificial intelligence, education, learning, future, robot, kid, robotics, learn, reading book, bench, circuit, improve, seoul korea, grey, seoul, south korea",18
FHgWFzDDAOs,,two hands touching each other in front of a blue background,122,#264073,7680,4320,2023-09-16T22:28:37Z,https://images.unsplash.com/photo-1694903089438-bf28d4697d9a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw4fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_8.jpg,images/image_8.jpg,"background, abstract, business, computer, blue, artificial intelligence, pattern, light, colorful, robot, communication, automation, analysis, bright, circuit, binary, automatic, automaton",18
tGBXiHcPKrM,,white and black typewriter with white printer paper,218,#d9d9d9,3999,2666,2020-06-09T09:53:10Z,https://images.unsplash.com/photo-1591696331111-ef9586a5b17a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHw5fHxBcnRpZmljaWFsJTIwSW50ZWxsaWdlbmNlfGVufDB8fHx8MTc2NTAyNTQxMXww&ixlib=rb-4.1.0&q=80&w=400,image_9.jpg,images/image_9.jpg,grey,1
K21Dn4OVxNw,My best friend Pepper,white robot toy holding black tablet,503,#262626,3448,4592,2018-08-20T00:09:16Z,https://images.unsplash.com/photo-1534723328310-e82dad3ee43f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxMHx8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_10.jpg,images/image_10.jpg,"human, programming, australia, future, robot, robotics, information, brisbane, python, smart, pepper, assisted living, intelligent, humanoid, companion, inteligent, technology, tech, grey, brisbane city",20
hibWw5mk1UY,AI chip background,A close up view of a blue and black fabric,41,#262626,3200,2000,2024-07-18T14:59:58Z,https://images.unsplash.com/photo-1721314787850-5745fdfb06b4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxMXx8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_11.jpg,images/image_11.jpg,"technology, computer, tech, science, electronics, supply chain, modern, cpu, neural network, hardware, system, semiconductor, motherboard, quantum, analog, 3d rendering, processor, artificial",18
t1PaIbMTJIM,artificial intelligence is on it’s way,person holding green paper,151,#262626,3648,2048,2018-05-15T10:06:20Z,https://images.unsplash.com/photo-1526378722484-bd91ca387e72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxMnx8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_12.jpg,images/image_12.jpg,"technology, tech, artificial intelligence, coding, programming, design, hand, code, creative, machine learning, programmer, post it, coder, beard, holding",15
0E_vhMVqL9g,"As Kuromon Market in Osaka was about to close for the evening I sampled some delicious king crab and did a final lap of the market when I stumbled upon one of the most Japanese scenes I could possibly imagine, a little girl, making friends with a robot.",photo of girl laying left hand on white digital robot,1003,#f3f3f3,5472,3648,2017-10-04T19:48:56Z,https://images.unsplash.com/photo-1507146153580-69a1fe6d8aa1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxM3x8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_13.jpg,images/image_13.jpg,"flowers, girl, japan, pink, female, friends, handshake, robot, child, cute, best friends, asian, osaka, lights, backpack, colourful, holding, humanoid, making friends, pals",20
naSAHDWRNbQ,The humanoid android robot Alter recreates human movements at the Mirakian museum in Tokyo,man in black and gray suit action figure,435,#262626,3712,5197,2020-06-28T21:21:03Z,https://images.unsplash.com/photo-1593376893114-1aed528d80cf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxNHx8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_14.jpg,images/image_14.jpg,"technology, tech, artificial intelligence, future, robot, innovation, electricity, job, machine, robots, motor, machinery, high tech, robotic, disruption, humanoid, alter, disruptive, japan, tokyo",20
ViC0envGdTU,AI – Artificial Intelligence – digital binary algorithm – Human vs. machine,the word ai spelled in white letters on a black surface,76,#262626,3500,2333,2022-03-06T16:21:18Z,https://images.unsplash.com/photo-1646583288948-24548aedffd8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NDAxNjN8MHwxfHNlYXJjaHwxNXx8QXJ0aWZpY2lhbCUyMEludGVsbGlnZW5jZXxlbnwwfHx8fDE3NjUwMjU0MTF8MA&ixlib=rb-4.1.0&q=80&w=400,image_15.jpg,images/image_15.jpg,"background, computer, artificial intelligence, data, robot, innovation, futuristic, connect, chip, application, concept, algorithm, deep learning, binary, artificial, accuracy, automatic, digital innovation, accurate, grey",20
